Rank,Player Name,Season,Plays,Total EPA,EPA/Play,Pass EPA,Rush EPA,Scramble %,Sack %,Success %,ADoT,Comp %,Pass Yards,Time To Throw,Pass TD,INT,YPA,Rush Yards,Rush TD,Bad%
10,Bo Nix,2025,717,63.64,0.09,55.23,8.41,5.37%,3.28%,43.93%,7.69,63.40%,3931,2.67,25,11,6.42,356,5,15.9
6,Dak Prescott,2025,684,94.09,0.14,103.52,-9.43,3.96%,4.72%,47.37%,8.23,67.33%,4552,2.62,30,10,7.59,177,2,12.5
11,Trevor Lawrence,2025,683,60.67,0.09,34.88,25.79,6.68%,6.37%,47.73%,8.96,60.89%,4007,2.65,29,12,7.16,359,9,14.4
13,Caleb Williams,2025,669,49.36,0.07,43.96,5.4,6.77%,3.78%,43.80%,9.31,58.10%,3942,2.99,27,7,6.94,388,3,20.7
3,Matthew Stafford,2025,649,109.09,0.17,140.93,-31.84,1.12%,3.67%,50.85%,9.51,64.99%,4707,2.63,46,8,7.88,1,0,18.1
23,Justin Herbert,2025,649,19.35,0.03,4.51,14.84,7.97%,8.78%,46.84%,8.12,66.41%,3727,2.69,26,13,7.28,498,2,15.2
1,Drake Maye,2025,642,169.96,0.26,159.8,10.16,10.47%,7.81%,52.96%,9.52,71.95%,4394,2.76,31,8,8.93,450,4,13.8
7,Jared Goff,2025,635,92.04,0.14,106.46,-14.42,0.81%,6.12%,47.87%,6.8,67.99%,4564,2.52,34,8,7.9,45,0,15.8
78,Cameron Ward,2025,634,-104.76,-0.17,-113.25,8.49,3.72%,8.90%,37.85%,7.81,59.81%,3169,2.79,15,7,5.87,159,2,
16,Baker Mayfield,2025,634,33.88,0.05,-1.84,35.72,6.91%,5.79%,44.48%,8.36,63.17%,3693,2.69,26,11,6.8,382,1,15.7
4,Josh Allen,2025,612,104.43,0.17,65.66,38.77,9.09%,7.27%,48.86%,7.55,69.35%,3668,2.72,25,10,7.97,579,14,13.0
5,Patrick Mahomes,2025,600,96.25,0.16,67.09,29.16,9.00%,5.77%,49.00%,8.56,62.75%,3587,2.63,22,11,7.15,422,5,17.9
15,Jalen Hurts,2025,591,43.94,0.07,27.26,16.68,7.60%,6.08%,44.33%,9.54,64.76%,3224,2.79,25,6,7.1,421,8,16.7
31,Jacoby Brissett,2025,566,2.29,0.0,-5.17,7.46,4.00%,7.82%,45.76%,8.09,64.95%,3366,2.76,23,8,6.94,168,1,17.6
61,Bryce Young,2025,559,-17.02,-0.03,-21.19,4.17,6.13%,5.02%,42.58%,6.99,63.60%,3011,2.67,23,11,6.3,216,2,16.4
26,Aaron Rodgers,2025,548,11.16,0.02,14.11,-2.95,2.23%,5.38%,42.34%,6.37,65.66%,3322,2.47,24,7,6.67,61,1,17.3
77,Geno Smith,2025,544,-74.7,-0.14,-73.03,-1.67,3.45%,10.56%,41.91%,6.45,67.41%,3025,2.61,19,17,6.75,109,0,11.4
14,Sam Darnold,2025,539,47.76,0.09,60.74,-12.97,2.70%,5.21%,51.02%,8.32,67.71%,4048,2.67,25,14,8.49,95,0,14.6
2,Jordan Love,2025,507,120.84,0.24,108.51,12.34,5.15%,4.33%,48.92%,9.42,66.29%,3381,2.72,23,6,7.7,199,0,14.6
12,C.J. Stroud,2025,494,56.52,0.11,41.48,15.04,5.31%,4.88%,46.15%,8.49,64.54%,3041,2.67,19,8,7.19,209,1,17.6
